Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
0,BF1406,Illinois,2,1,Apartment,55.0,96.0,48,Avondale,Chicago
1,DB7921,Massachusetts,4,1,Apartment,0.0,94.0,115,South End,Boston
2,OZ5857,Illinois,4,3,Apartment,51.0,99.0,150,Avondale,Chicago
3,HY8797,California,2,1,Apartment,4.0,74.0,125,SoMa,San Francisco
4,VN7858,Massachusetts,2,1,House,23.0,86.0,64,West Roxbury,Boston
5,PP4626,California,2,1,Apartment,211.0,92.0,129,Western Addition/NOPA,San Francisco
7,JO6059,Massachusetts,2,2,Apartment,15.0,96.0,158,Fenway/Kenmore,Boston
8,GU6250,California,2,1,Apartment,1.0,100.0,139,Mission District,San Francisco
9,QR1343,California,2,1,House,25.0,96.0,125,Cahuenga Pass,Los Angeles
10,FU1529,California,4,2,Apartment,3.0,79.0,100,Mission District,San Francisco
11,CR6461,Illinois,4,2,Apartment,6.0,87.0,149,South Loop/Printers Row,Chicago
12,YC3932,Illinois,2,1,Apartment,6.0,100.0,125,West Loop/Greektown,Chicago
14,MY4058,Massachusetts,2,1,Apartment,4.0,100.0,199,South Boston,Boston
15,MP5849,Massachusetts,4,2,Dorm,15.0,90.0,45,Allston-Brighton,Boston
16,ZE6530,California,8,4,Apartment,71.0,89.0,190,Mid-Wilshire,Los Angeles
17,KS2506,California,6,4,Apartment,59.0,99.0,192,Hollywood,Los Angeles
18,ZN5183,California,6,4,Loft,44.0,93.0,149,Bel Air/Beverly Crest,Los Angeles
19,KE2237,Massachusetts,11,8,Apartment,2.0,99.0,150,South Boston,Boston
20,BV5351,California,2,1,Apartment,16.0,95.0,100,Silver Lake,Los Angeles
21,QP7214,California,3,1,Apartment,12.0,96.0,133,Mid-Wilshire,Los Angeles
22,CO2790,California,6,3,Apartment,18.0,99.0,194,Westchester/Playa Del Rey,Los Angeles
23,UH4994,California,2,1,Apartment,2.0,98.0,119,Manhattan Beach,Los Angeles
24,GW5946,California,2,1,Apartment,78.0,96.0,119,West Hollywood,Los Angeles
25,PB4316,California,6,3,Apartment,56.0,87.0,109,Cow Hollow,San Francisco
26,GR2732,California,3,2,Apartment,16.0,94.0,139,Marina Del Rey,Los Angeles
27,NB3754,Illinois,3,2,Apartment,5.0,100.0,110,Bucktown,Chicago
28,XD7723,Massachusetts,3,2,House,138.0,95.0,144,Jamaica Plain,Boston
29,LI4710,Illinois,2,1,Apartment,27.0,95.0,74,Logan Square,Chicago
30,PZ7489,California,3,1,Apartment,9.0,92.0,100,Hollywood,Los Angeles
31,OD8936,California,1,1,House,163.0,96.0,79,Del Rey,Los Angeles
32,TM8328,California,2,1,House,37.0,94.0,59,Woodland Hills/Warner Center,Los Angeles
33,BT8735,California,8,4,Apartment,75.0,92.0,198,The Castro,San Francisco
34,LO1225,California,1,1,Apartment,57.0,99.0,95,Monterey Hills,Los Angeles
35,RE2319,California,2,2,Boat,76.0,91.0,138,Marina Del Rey,Los Angeles
36,XS1530,California,4,2,House,2.0,80.0,100,Inglewood,Los Angeles
37,BF2157,Massachusetts,2,1,Condominium,19.0,99.0,108,South Boston,Boston
38,EK9422,Massachusetts,2,1,Apartment,19.0,98.0,186,South Boston,Boston
39,II2045,Massachusetts,1,1,House,1.0,100.0,104,Dorchester,Boston
40,LM7744,California,4,3,House,2.0,90.0,190,Highland Park,Los Angeles
41,WK4519,Massachusetts,3,2,Condominium,7.0,89.0,149,Charlestown,Boston
42,JD6514,Illinois,4,1,Apartment,6.0,97.0,100,Lakeview,Chicago
44,JE7685,Massachusetts,2,1,Apartment,11.0,92.0,81,Allston-Brighton,Boston
45,EJ4370,California,4,3,Apartment,56.0,94.0,100,Gardena,Los Angeles
46,BK9521,California,1,1,Apartment,1.0,100.0,100,SoMa,San Francisco
47,HV4772,Illinois,2,1,Apartment,46.0,95.0,51,Boystown,Chicago
48,TX1098,California,4,2,House,3.0,99.0,109,Boyle Heights,Los Angeles
49,OO8811,Massachusetts,3,1,Condominium,28.0,88.0,199,South Boston,Boston
50,AD3737,California,3,1,Apartment,1.0,99.0,76,West Los Angeles,Los Angeles
51,CM1969,California,4,1,Bungalow,8.0,100.0,149,Cahuenga Pass,Los Angeles
52,RE1634,Massachusetts,6,3,Apartment,18.0,100.0,175,Beacon Hill,Boston
53,HI6080,Massachusetts,2,1,Apartment,14.0,95.0,125,South End,Boston
54,WW9801,California,2,1,Condominium,4.0,94.0,108,Haight-Ashbury,San Francisco
55,ZD8903,Massachusetts,2,1,Townhouse,58.0,96.0,150,South End,Boston
56,XN5680,California,2,1,House,13.0,99.0,100,Pacific Palisades,Los Angeles
57,MS9589,California,2,1,Apartment,1.0,97.0,55,Highland Park,Los Angeles
58,MN6641,Massachusetts,1,1,House,32.0,96.0,64,Allston-Brighton,Boston
59,XQ3633,California,2,1,Apartment,65.0,93.0,119,Silver Lake,Los Angeles
60,EN3555,California,3,1,Apartment,159.0,94.0,125,Hollywood,Los Angeles
61,VL1835,California,4,2,Apartment,36.0,86.0,85,South LA,Los Angeles
62,EO5829,Massachusetts,3,1,Apartment,55.0,97.0,102,Theater District,Boston
63,BM7841,Illinois,2,1,Apartment,84.0,99.0,125,Wicker Park,Chicago
64,MW5232,California,1,1,Apartment,2.0,100.0,128,Torrance,Los Angeles
65,ZX5129,California,2,1,Condominium,8.0,97.0,104,Twin Peaks,San Francisco
66,GI1412,Massachusetts,2,1,Apartment,1.0,99.0,100,Jamaica Plain,Boston
67,AV5165,California,2,1,House,18.0,92.0,54,West Hills,Los Angeles
68,PR8803,Illinois,6,3,Condominium,43.0,95.0,158,South Loop/Printers Row,Chicago
69,EE3023,Illinois,2,1,Apartment,15.0,100.0,119,South Loop/Printers Row,Chicago
70,DJ5169,California,2,1,Apartment,96.0,95.0,79,Santa Monica,Los Angeles
71,EL2829,Illinois,2,1,Apartment,5.0,91.0,125,Lakeview,Chicago
72,HN9958,Massachusetts,1,1,Apartment,3.0,99.0,74,East Boston,Boston
73,YH5432,California,5,4,Apartment,136.0,95.0,149,Westlake,Los Angeles
74,PK7377,California,3,1,Apartment,32.0,92.0,111,Mid-Wilshire,Los Angeles
75,HD7298,Illinois,2,1,Apartment,72.0,94.0,59,Avondale,Chicago
76,ZG9806,Illinois,4,2,Apartment,57.0,98.0,150,Bucktown,Chicago
77,XU7723,Illinois,7,4,Apartment,22.0,98.0,179,Ukrainian Village,Chicago
78,LQ3804,Illinois,4,3,Apartment,47.0,95.0,110,Bronzeville,Chicago
79,DN1649,California,5,2,Apartment,4.0,100.0,199,Lakeshore,San Francisco
80,GB7783,California,2,1,Apartment,103.0,96.0,100,West Hollywood,Los Angeles
81,KQ8906,California,2,1,Apartment,40.0,94.0,119,Nob Hill,San Francisco
82,ZN9465,California,1,1,Apartment,54.0,97.0,101,Venice,Los Angeles
83,TM5494,California,2,1,Apartment,102.0,91.0,169,Haight-Ashbury,San Francisco
84,PM6836,Illinois,1,1,Hostel,2.0,80.0,59,River North,Chicago
